"year","em","month","sector","global_total","units"
2030,"CO2",6,"SLV",4156.08561204227,"kt"
2030,"CO2",7,"SLV",4294.62179911035,"kt"
2030,"CO2",8,"SLV",4294.62179911035,"kt"
2030,"CO2",9,"SLV",4156.08561204227,"kt"
2030,"CO2",10,"SLV",4294.62179911035,"kt"
2030,"CO2",11,"SLV",4156.08561204227,"kt"
2030,"CO2",12,"SLV",4294.62179911035,"kt"
2030,"CO2",1,"WST",11077.4398222747,"kt"
2030,"CO2",2,"WST",10005.4295168933,"kt"
2030,"CO2",3,"WST",11077.4398222747,"kt"
2030,"CO2",4,"WST",10720.1030538142,"kt"
2030,"CO2",5,"WST",11077.4398222747,"kt"
2030,"CO2",6,"WST",10720.1030538142,"kt"
2030,"CO2",7,"WST",11077.4398222747,"kt"
2030,"CO2",8,"WST",11077.4398222747,"kt"
2030,"CO2",9,"WST",10720.1030538142,"kt"
2030,"CO2",10,"WST",11077.4398222747,"kt"
2030,"CO2",11,"WST",10720.1030538142,"kt"
2030,"CO2",12,"WST",11077.4398222747,"kt"
2030,"CO2",1,"SHP",91694.7594446577,"kt"
2030,"CO2",2,"SHP",78703.7829806408,"kt"
2030,"CO2",3,"SHP",95941.6645195627,"kt"
2030,"CO2",4,"SHP",92043.1503075695,"kt"
2030,"CO2",5,"SHP",96723.5932641695,"kt"
2030,"CO2",6,"SHP",89994.0123268106,"kt"
2030,"CO2",7,"SHP",99498.1950633343,"kt"
2030,"CO2",8,"SHP",100833.055734515,"kt"
2030,"CO2",9,"SHP",95960.3387402324,"kt"
2030,"CO2",10,"SHP",103119.834881269,"kt"
2030,"CO2",11,"SHP",100450.944046247,"kt"
2030,"CO2",12,"SHP",101638.869259081,"kt"
2030,"CO2",1,"NEGCO2",0,"kt"
2030,"CO2",2,"NEGCO2",0,"kt"
2030,"CO2",3,"NEGCO2",0,"kt"
2030,"CO2",4,"NEGCO2",0,"kt"
2030,"CO2",5,"NEGCO2",0,"kt"
2030,"CO2",6,"NEGCO2",0,"kt"
2030,"CO2",7,"NEGCO2",0,"kt"
2030,"CO2",8,"NEGCO2",0,"kt"
2030,"CO2",9,"NEGCO2",0,"kt"
2030,"CO2",10,"NEGCO2",0,"kt"
2030,"CO2",11,"NEGCO2",0,"kt"
2030,"CO2",12,"NEGCO2",0,"kt"
2040,"CO2",1,"AGR",0,"kt"
2040,"CO2",2,"AGR",0,"kt"
2040,"CO2",3,"AGR",0,"kt"
2040,"CO2",4,"AGR",0,"kt"
2040,"CO2",5,"AGR",0,"kt"
2040,"CO2",6,"AGR",0,"kt"
2040,"CO2",7,"AGR",0,"kt"
2040,"CO2",8,"AGR",0,"kt"
2040,"CO2",9,"AGR",0,"kt"
2040,"CO2",10,"AGR",0,"kt"
2040,"CO2",11,"AGR",0,"kt"
2040,"CO2",12,"AGR",0,"kt"
2040,"CO2",1,"ENE",1342551.92465464,"kt"
2040,"CO2",2,"ENE",1178415.88880824,"kt"
2040,"CO2",3,"ENE",1280553.79928662,"kt"
2040,"CO2",4,"ENE",1218700.75039513,"kt"
2040,"CO2",5,"ENE",1254607.07136895,"kt"
2040,"CO2",6,"ENE",1221870.48388711,"kt"
2040,"CO2",7,"ENE",1275869.65777645,"kt"
2040,"CO2",8,"ENE",1271476.04895531,"kt"
2040,"CO2",9,"ENE",1211499.50020714,"kt"
2040,"CO2",10,"ENE",1260055.70720963,"kt"
2040,"CO2",11,"ENE",1237785.63371459,"kt"
2040,"CO2",12,"ENE",1327761.56022433,"kt"
2040,"CO2",1,"IND",1095863.19432727,"kt"
2040,"CO2",2,"IND",994707.434757773,"kt"
2040,"CO2",3,"IND",1048937.79317176,"kt"
2040,"CO2",4,"IND",1025591.48438239,"kt"
2040,"CO2",5,"IND",992099.783967706,"kt"
2040,"CO2",6,"IND",945258.521523369,"kt"
2040,"CO2",7,"IND",950594.419823879,"kt"
2040,"CO2",8,"IND",976767.138907481,"kt"
2040,"CO2",9,"IND",934768.127307198,"kt"
2040,"CO2",10,"IND",1018272.50305131,"kt"
2040,"CO2",11,"IND",1020346.2872743,"kt"
2040,"CO2",12,"IND",1101283.23133896,"kt"
2040,"CO2",1,"TRA",830011.272933616,"kt"
2040,"CO2",2,"TRA",749687.601359395,"kt"
2040,"CO2",3,"TRA",830011.272933616,"kt"
2040,"CO2",4,"TRA",803236.715742209,"kt"
2040,"CO2",5,"TRA",830011.272933616,"kt"
2040,"CO2",6,"TRA",803236.715742209,"kt"
2040,"CO2",7,"TRA",830011.272933616,"kt"
2040,"CO2",8,"TRA",830011.272933616,"kt"
2040,"CO2",9,"TRA",803236.715742209,"kt"
2040,"CO2",10,"TRA",830011.272933616,"kt"
2040,"CO2",11,"TRA",803236.715742209,"kt"
2040,"CO2",12,"TRA",830011.272933616,"kt"
2040,"CO2",1,"RCO",290233.969101897,"kt"
2040,"CO2",2,"RCO",234779.701067947,"kt"
2040,"CO2",3,"RCO",227246.454195079,"kt"
2040,"CO2",4,"RCO",179848.422883363,"kt"
2040,"CO2",5,"RCO",173620.542752852,"kt"
2040,"CO2",6,"RCO",166231.457644791,"kt"
2040,"CO2",7,"RCO",173709.386145285,"kt"
2040,"CO2",8,"RCO",173015.917356329,"kt"
2040,"CO2",9,"RCO",165952.474043338,"kt"
2040,"CO2",10,"RCO",181961.784857815,"kt"
2040,"CO2",11,"RCO",209754.642302054,"kt"
2040,"CO2",12,"RCO",277102.107689201,"kt"
2040,"CO2",1,"SLV",4294.54353110845,"kt"
